,checking_status,duration,credit_history,purpose,credit_amount,savings_status,employment,installment_commitment,personal_status,other_parties,residence_since,property_magnitude,age,other_payment_plans,housing,existing_credits,job,num_dependents,own_telephone,foreign_worker,class
48,no checking,8,delayed previously,new car,376.0,<100,<1,4,female div/dep/mar,none,1,real estate,45,none,rent,2,skilled,2,none,no,bad
49,<0,25,no credits/all paid,domestic appliance,3627.0,<100,1<=X<4,4,female div/dep/mar,none,1,life insurance,21,none,rent,2,skilled,2,none,no,good
50,>=200,11,critical/other existing credit,used car,2805.0,<100,1<=X<4,4,female div/dep/mar,none,4,no known property,60,none,for free,2,skilled,2,none,yes,bad
51,no checking,17,critical/other existing credit,radio/tv,545.0,100<=X<500,1<=X<4,2,female div/dep/mar,none,2,real estate,41,none,rent,2,skilled,2,none,no,bad
52,0<=X<200,10,no credits/all paid,education,1509.0,<100,1<=X<4,1,female div/dep/mar,none,4,car,21,none,rent,3,skilled,2,none,no,bad
53,<0,8,critical/other existing credit,business,320.0,<100,1<=X<4,4,female div/dep/mar,none,2,life insurance,27,none,rent,3,skilled,2,none,no,good
54,>=200,23,critical/other existing credit,radio/tv,5072.0,<100,1<=X<4,2,female div/dep/mar,none,4,life insurance,20,none,rent,2,skilled,2,none,no,bad
55,no checking,23,critical/other existing credit,new car,981.0,<100,1<=X<4,1,female div/dep/mar,none,3,real estate,20,none,rent,3,skilled,2,none,no,good
56,<0,11,delayed previously,education,3898.0,<100,<1,2,female div/dep/mar,none,1,life insurance,32,none,rent,3,skilled,2,none,no,good
57,<0,19,no credits/all paid,furniture/equipment,843.0,<100,1<=X<4,4,female div/dep/mar,none,2,life insurance,21,none,rent,3,skilled,2,none,no,bad
58,0<=X<200,16,critical/other existing credit,domestic appliance,5984.0,<100,<1,1,female div/dep/mar,none,1,no known property,48,none,for free,3,skilled,2,none,no,bad
59,>=200,13,no credits/all paid,radio/tv,343.0,<100,1<=X<4,4,female div/dep/mar,none,3,real estate,34,none,rent,3,skilled,2,none,no,bad
60,<0,12,critical/other existing credit,radio/tv,1407.0,<100,4<=X<7,4,female div/dep/mar,none,3,life insurance,38,none,rent,2,skilled,2,none,no,good
61,<0,11,delayed previously,radio/tv,708.0,<100,<1,4,female div/dep/mar,none,2,car,38,none,rent,2,skilled,2,none,no,good
62,no checking,16,no credits/all paid,new car,1980.0,<100,unemployed,3,female div/dep/mar,none,1,life insurance,47,none,rent,3,skilled,2,none,no,good
63,0<=X<200,12,critical/other existing credit,furniture/equipment,5489.0,100<=X<500,>=7,2,female div/dep/mar,none,2,car,22,none,rent,3,unskilled resident,2,none,no,bad
64,0<=X<200,26,delayed previously,furniture/equipment,2090.0,<100,<1,2,female div/dep/mar,none,4,no known property,43,none,rent,2,skilled,2,none,no,bad
65,0<=X<200,12,delayed previously,used car,896.0,no known savings,4<=X<7,4,female div/dep/mar,none,1,car,20,none,rent,2,skilled,2,none,no,bad
66,<0,9,critical/other existing credit,radio/tv,973.0,no known savings,1<=X<4,4,female div/dep/mar,none,1,car,31,none,rent,3,skilled,2,none,no,good
67,0<=X<200,16,no credits/all paid,new car,2199.0,<100,1<=X<4,2,female div/dep/mar,none,4,no known property,52,none,for free,3,skilled,2,none,no,bad
68,no checking,14,no credits/all paid,furniture/equipment,1990.0,no known savings,1<=X<4,4,female div/dep/mar,none,4,no known property,51,none,rent,2,unskilled resident,2,none,no,good
69,0<=X<200,12,critical/other existing credit,radio/tv,2474.0,no known savings,>=7,1,female div/dep/mar,none,4,no known property,29,none,rent,2,skilled,2,none,no,bad
70,0<=X<200,33,critical/other existing credit,domestic appliance,5280.0,500<=X<1000,1<=X<4,1,female div/dep/mar,none,3,car,21,none,rent,2,skilled,2,none,no,good
71,<0,6,no credits/all paid,radio/tv,1294.0,<100,4<=X<7,1,female div/dep/mar,none,2,life insurance,25,none,rent,2,skilled,2,none,no,good
72,0<=X<200,12,critical/other existing credit,new car,2695.0,<100,>=7,1,female div/dep/mar,none,4,life insurance,66,none,rent,3,skilled,2,none,no,good
73,>=200,15,no credits/all paid,radio/tv,3523.0,<100,1<=X<4,1,female div/dep/mar,none,3,car,20,none,rent,3,skilled,2,none,no,bad
74,<0,15,all paid,business,1236.0,<100,unemployed,4,female div/dep/mar,none,4,life insurance,35,none,rent,2,skilled,2,none,no,good
75,0<=X<200,11,no credits/all paid,radio/tv,612.0,<100,<1,4,female div/dep/mar,none,2,car,20,none,for free,4,skilled,2,none,no,bad
76,<0,6,no credits/all paid,radio/tv,1876.0,<100,<1,4,female div/dep/mar,none,1,no known property,28,none,for free,2,skilled,2,none,no,bad
77,no checking,47,no credits/all paid,education,2496.0,<100,1<=X<4,3,female div/dep/mar,none,2,real estate,27,none,rent,3,skilled,2,none,no,bad
78,>=200,16,no credits/all paid,radio/tv,3038.0,100<=X<500,<1,4,female div/dep/mar,none,4,real estate,23,none,rent,2,skilled,2,none,no,good
79,no checking,48,no credits/all paid,new car,7558.0,>=1000,1<=X<4,4,female div/dep/mar,none,4,life insurance,24,none,rent,2,skilled,2,none,no,good
80,>=200,32,no credits/all paid,used car,2808.0,<100,<1,4,female div/dep/mar,none,4,life insurance,51,none,rent,2,skilled,2,none,no,good
81,no checking,8,no credits/all paid,furniture/equipment,1189.0,<100,<1,2,female div/dep/mar,none,2,no known property,23,none,rent,3,skilled,2,none,no,good
82,>=200,15,critical/other existing credit,radio/tv,5850.0,<100,4<=X<7,1,female div/dep/mar,none,1,life insurance,20,none,rent,2,skilled,2,none,no,good
83,no checking,13,critical/other existing credit,education,661.0,no known savings,unemployed,4,female div/dep/mar,none,2,real estate,23,none,rent,2,skilled,2,none,no,good
84,<0,23,critical/other existing credit,new car,2373.0,<100,1<=X<4,4,female div/dep/mar,none,3,life insurance,61,none,rent,3,skilled,2,none,no,bad
85,no checking,32,no credits/all paid,furniture/equipment,4576.0,no known savings,1<=X<4,1,female div/dep/mar,none,3,life insurance,21,none,rent,2,skilled,2,none,yes,good
86,no checking,9,no credits/all paid,new car,405.0,<100,1<=X<4,4,female div/dep/mar,none,1,real estate,24,none,rent,2,skilled,2,none,no,good
87,>=200,22,no credits/all paid,furniture/equipment,1155.0,100<=X<500,1<=X<4,4,female div/dep/mar,none,4,car,21,none,rent,3,skilled,2,none,no,bad
88,no checking,19,critical/other existing credit,repairs,1964.0,<100,1<=X<4,4,female div/dep/mar,none,4,no known property,51,none,for free,2,skilled,2,none,no,good
89,no checking,36,critical/other existing credit,radio/tv,2752.0,<100,1<=X<4,4,female div/dep/mar,none,2,car,20,none,rent,3,skilled,2,none,no,good
90,no checking,27,critical/other existing credit,furniture/equipment,5247.0,<100,1<=X<4,3,female div/dep/mar,none,2,car,20,none,rent,2,skilled,2,none,no,bad
91,>=200,12,no credits/all paid,radio/tv,6805.0,no known savings,1<=X<4,2,female div/dep/mar,none,1,car,23,none,rent,2,skilled,2,none,no,good
92,>=200,12,critical/other existing credit,education,997.0,no known savings,1<=X<4,1,female div/dep/mar,none,4,car,21,none,rent,3,skilled,2,none,no,good
93,<0,9,critical/other existing credit,new car,2013.0,<100,<1,4,female div/dep/mar,none,4,no known property,30,none,rent,2,skilled,2,none,no,bad
94,<0,22,critical/other existing credit,radio/tv,7294.0,<100,1<=X<4,1,female div/dep/mar,none,3,life insurance,20,none,rent,2,skilled,2,none,no,bad
95,<0,11,critical/other existing credit,new car,992.0,>=1000,1<=X<4,3,female div/dep/mar,none,1,real estate,35,none,rent,2,skilled,2,none,no,good
96,no checking,10,critical/other existing credit,radio/tv,851.0,500<=X<1000,1<=X<4,2,female div/dep/mar,none,4,no known property,30,none,rent,2,skilled,2,none,no,bad
97,0<=X<200,9,critical/other existing credit,furniture/equipment,1817.0,<100,4<=X<7,2,female div/dep/mar,none,4,life insurance,21,none,for free,3,skilled,2,none,no,good
98,>=200,7,critical/other existing credit,domestic appliance,358.0,<100,4<=X<7,3,female div/dep/mar,none,2,car,34,none,rent,2,skilled,2,none,no,good
99,<0,23,critical/other existing credit,radio/tv,1029.0,<100,4<=X<7,2,female div/dep/mar,none,4,real estate,22,none,rent,3,skilled,2,none,no,good
100,<0,23,critical/other existing credit,repairs,5103.0,<100,1<=X<4,1,female div/dep/mar,none,4,no known property,21,none,for free,2,skilled,2,none,no,bad
101,no checking,14,critical/other existing credit,furniture/equipment,831.0,<100,<1,4,female div/dep/mar,none,4,life insurance,26,none,rent,2,skilled,2,none,no,good
102,no checking,10,critical/other existing credit,radio/tv,306.0,<100,1<=X<4,4,female div/dep/mar,none,3,life insurance,25,none,rent,2,skilled,2,none,no,good
103,<0,28,no credits/all paid,repairs,4032.0,no known savings,1<=X<4,1,female div/dep/mar,none,3,no known property,28,none,rent,2,skilled,2,none,no,bad
104,0<=X<200,12,critical/other existing credit,new car,2050.0,<100,1<=X<4,2,female div/dep/mar,none,3,car,20,none,rent,2,skilled,2,none,no,good
105,no checking,6,delayed previously,repairs,1994.0,<100,<1,1,female div/dep/mar,none,1,car,20,none,rent,2,skilled,2,none,no,bad
106,<0,16,delayed previously,repairs,1270.0,<100,<1,4,female div/dep/mar,none,2,life insurance,20,none,rent,2,skilled,2,none,no,bad
107,no checking,25,critical/other existing credit,used car,2461.0,<100,4<=X<7,4,female div/dep/mar,none,3,car,22,none,rent,2,skilled,2,none,no,good
108,0<=X<200,41,critical/other existing credit,radio/tv,2234.0,<100,1<=X<4,4,female div/dep/mar,none,1,real estate,36,none,rent,3,skilled,2,none,no,good
109,<0,10,delayed previously,new car,695.0,<100,>=7,4,female div/dep/mar,none,1,life insurance,30,none,rent,3,skilled,2,none,no,good
110,<0,8,no credits/all paid,new car,1499.0,<100,1<=X<4,4,female div/dep/mar,none,2,no known property,21,none,for free,2,skilled,2,none,no,bad
111,no checking,8,no credits/all paid,education,1103.0,no known savings,>=7,4,female div/dep/mar,none,3,life insurance,21,none,rent,3,skilled,2,none,no,good
112,>=200,7,no credits/all paid,radio/tv,599.0,<100,1<=X<4,4,female div/dep/mar,none,4,life insurance,31,none,rent,2,skilled,2,none,no,good
113,<0,28,critical/other existing credit,new car,1834.0,<100,1<=X<4,2,female div/dep/mar,none,2,car,41,none,rent,2,skilled,2,none,no,bad
114,0<=X<200,13,critical/other existing credit,furniture/equipment,432.0,<100,4<=X<7,4,female div/dep/mar,none,3,car,27,none,for free,3,skilled,2,none,no,good
115,<0,9,critical/other existing credit,furniture/equipment,1272.0,<100,1<=X<4,4,female div/dep/mar,none,4,life insurance,28,none,rent,2,skilled,2,none,yes,bad
116,0<=X<200,13,critical/other existing credit,radio/tv,1535.0,<100,unemployed,2,female div/dep/mar,none,2,car,45,none,rent,2,skilled,2,none,no,bad
117,no checking,16,no credits/all paid,repairs,529.0,<100,1<=X<4,4,female div/dep/mar,none,4,life insurance,24,none,rent,2,skilled,2,none,no,bad
118,>=200,14,critical/other existing credit,radio/tv,3981.0,no known savings,4<=X<7,3,female div/dep/mar,none,4,life insurance,24,none,rent,3,skilled,2,none,no,good
119,<0,10,critical/other existing credit,used car,1195.0,<100,1<=X<4,1,female div/dep/mar,none,4,car,26,none,rent,2,unskilled resident,2,none,no,bad
120,0<=X<200,11,no credits/all paid,used car,2449.0,<100,1<=X<4,2,female div/dep/mar,none,2,car,24,none,rent,2,skilled,2,none,no,good
121,>=200,11,critical/other existing credit,furniture/equipment,2401.0,<100,1<=X<4,3,female div/dep/mar,none,2,life insurance,39,none,rent,2,skilled,2,none,no,bad
122,<0,7,delayed previously,education,518.0,<100,<1,4,female div/dep/mar,none,1,real estate,49,none,rent,3,skilled,2,none,no,bad
123,no checking,44,critical/other existing credit,repairs,1495.0,<100,4<=X<7,4,female div/dep/mar,none,2,car,40,none,rent,3,skilled,2,none,yes,good
124,<0,13,no credits/all paid,education,10763.0,<100,>=7,1,female div/dep/mar,none,1,no known property,25,none,rent,3,skilled,2,none,no,bad
125,<0,10,critical/other existing credit,radio/tv,664.0,<100,4<=X<7,4,female div/dep/mar,none,2,life insurance,26,none,rent,2,skilled,2,none,no,bad
126,no checking,42,critical/other existing credit,new car,8083.0,<100,1<=X<4,2,female div/dep/mar,none,3,car,37,none,rent,2,skilled,2,none,no,bad
127,no checking,13,no credits/all paid,new car,2943.0,<100,<1,1,female div/dep/mar,none,4,real estate,21,none,rent,3,skilled,2,none,no,good
128,no checking,13,critical/other existing credit,new car,1742.0,<100,>=7,1,female div/dep/mar,none,2,no known property,64,none,rent,2,skilled,2,none,no,good
129,<0,15,no credits/all paid,radio/tv,5013.0,<100,>=7,3,female div/dep/mar,none,4,car,32,none,rent,3,unskilled resident,2,none,no,bad
130,no checking,51,critical/other existing credit,repairs,8342.0,<100,4<=X<7,1,female div/dep/mar,none,4,car,21,none,rent,2,skilled,2,none,no,good
131,no checking,26,critical/other existing credit,furniture/equipment,6123.0,<100,1<=X<4,3,female div/dep/mar,none,4,no known property,21,none,for free,2,skilled,2,none,no,bad
132,>=200,49,no credits/all paid,used car,2521.0,<100,>=7,1,female div/dep/mar,none,4,life insurance,20,none,rent,3,skilled,2,none,no,bad
133,0<=X<200,27,no credits/all paid,education,1825.0,<100,<1,4,female div/dep/mar,none,4,life insurance,67,none,for free,2,skilled,2,none,no,bad
134,no checking,9,no credits/all paid,radio/tv,602.0,<100,1<=X<4,2,female div/dep/mar,none,1,real estate,20,none,rent,2,skilled,2,none,no,bad
135,<0,7,critical/other existing credit,education,282.0,<100,1<=X<4,3,female div/dep/mar,none,2,car,21,none,rent,2,skilled,2,none,no,bad
136,<0,8,critical/other existing credit,new car,1717.0,<100,4<=X<7,3,female div/dep/mar,none,4,car,21,none,rent,3,skilled,2,none,no,good
137,<0,18,critical/other existing credit,domestic appliance,2879.0,100<=X<500,unemployed,2,female div/dep/mar,none,2,real estate,20,none,rent,2,skilled,2,none,no,bad
138,<0,7,all paid,repairs,459.0,<100,4<=X<7,2,female div/dep/mar,none,4,car,22,none,rent,2,skilled,2,none,no,bad
139,no checking,32,no credits/all paid,radio/tv,2797.0,500<=X<1000,1<=X<4,2,female div/dep/mar,none,3,real estate,28,none,rent,2,skilled,2,none,no,bad
140,>=200,6,no credits/all paid,education,425.0,<100,unemployed,4,female div/dep/mar,none,3,life insurance,40,none,rent,2,skilled,2,none,no,bad
141,<0,14,critical/other existing credit,furniture/equipment,4153.0,<100,>=7,4,female div/dep/mar,none,2,no known property,67,none,rent,2,skilled,2,none,no,bad
142,0<=X<200,25,delayed previously,new car,977.0,<100,1<=X<4,4,female div/dep/mar,none,3,real estate,44,none,rent,2,skilled,2,none,no,bad
143,<0,6,critical/other existing credit,other,1667.0,<100,1<=X<4,1,female div/dep/mar,none,1,no known property,66,none,rent,2,skilled,2,none,no,bad
144,<0,18,no credits/all paid,repairs,1433.0,<100,>=7,4,female div/dep/mar,none,3,life insurance,21,none,rent,2,skilled,2,none,no,bad
145,>=200,20,critical/other existing credit,radio/tv,2469.0,<100,<1,2,female div/dep/mar,none,3,life insurance,26,none,rent,2,skilled,2,none,no,good
146,<0,7,delayed previously,furniture/equipment,4902.0,<100,4<=X<7,1,female div/dep/mar,none,1,car,23,none,rent,2,skilled,2,none,no,good
147,no checking,20,no credits/all paid,education,5321.0,<100,4<=X<7,1,female div/dep/mar,none,1,no known property,20,none,rent,3,skilled,2,none,no,good
148,no checking,17,critical/other existing credit,new car,4670.0,no known savings,4<=X<7,1,female div/dep/mar,none,2,car,22,none,rent,2,skilled,2,none,no,bad
149,<0,22,delayed previously,business,735.0,<100,4<=X<7,4,female div/dep/mar,none,1,real estate,25,none,rent,3,skilled,2,none,no,bad
150,>=200,7,critical/other existing credit,furniture/equipment,355.0,no known savings,<1,4,female div/dep/mar,none,3,real estate,20,none,rent,3,unskilled resident,2,none,no,bad
151,>=200,46,critical/other existing credit,domestic appliance,3027.0,<100,>=7,4,female div/dep/mar,none,4,no known property,23,none,rent,2,skilled,2,none,no,bad
152,>=200,7,delayed previously,education,762.0,<100,<1,4,female div/dep/mar,none,4,no known property,35,none,for free,3,skilled,2,none,no,good
153,no checking,18,delayed previously,education,1752.0,<100,>=7,2,female div/dep/mar,none,2,life insurance,20,none,rent,3,skilled,2,none,no,bad
154,<0,11,critical/other existing credit,radio/tv,3088.0,<100,4<=X<7,2,female div/dep/mar,none,2,life insurance,24,none,for free,2,skilled,2,none,no,bad
155,<0,25,delayed previously,furniture/equipment,3390.0,<100,>=7,4,female div/dep/mar,none,3,car,37,none,rent,3,skilled,2,none,no,good
156,no checking,8,critical/other existing credit,furniture/equipment,1382.0,<100,4<=X<7,4,female div/dep/mar,none,4,life insurance,25,none,for free,2,skilled,2,none,no,bad
157,no checking,17,no credits/all paid,furniture/equipment,2582.0,no known savings,4<=X<7,3,female div/dep/mar,none,4,no known property,42,none,rent,3,skilled,2,none,no,good
158,>=200,39,critical/other existing credit,domestic appliance,2425.0,<100,1<=X<4,4,female div/dep/mar,none,4,life insurance,25,none,for free,3,high qualif/self emp/mgmt,2,none,no,bad
159,no checking,7,no credits/all paid,education,513.0,no known savings,4<=X<7,4,female div/dep/mar,none,4,real estate,45,none,rent,4,unemp/unskilled non res,2,none,no,good
160,<0,6,no credits/all paid,furniture/equipment,2171.0,<100,<1,2,female div/dep/mar,none,2,life insurance,25,none,rent,2,skilled,2,none,no,good
161,<0,8,no credits/all paid,new car,1891.0,<100,1<=X<4,4,female div/dep/mar,none,4,life insurance,41,none,rent,2,skilled,2,none,no,good
162,<0,6,no credits/all paid,retraining,1050.0,<100,1<=X<4,2,female div/dep/mar,none,3,car,52,none,for free,2,skilled,2,none,no,good
163,<0,8,no credits/all paid,radio/tv,1690.0,<100,<1,3,female div/dep/mar,none,4,no known property,46,none,rent,2,unemp/unskilled non res,2,none,no,bad
164,<0,11,critical/other existing credit,furniture/equipment,6388.0,<100,1<=X<4,1,female div/dep/mar,none,3,no known property,20,none,rent,2,skilled,2,none,no,good
165,<0,17,delayed previously,furniture/equipment,4019.0,<100,<1,1,female div/dep/mar,none,2,car,34,none,rent,2,skilled,2,none,no,good
166,no checking,12,delayed previously,furniture/equipment,1937.0,>=1000,4<=X<7,4,female div/dep/mar,none,1,life insurance,22,none,rent,2,skilled,2,none,no,bad
167,>=200,49,no credits/all paid,other,2343.0,<100,1<=X<4,4,female div/dep/mar,none,2,life insurance,67,none,rent,3,skilled,2,none,no,good
168,<0,31,delayed previously,radio/tv,934.0,no known savings,1<=X<4,4,female div/dep/mar,none,2,car,50,none,rent,2,unskilled resident,2,none,no,bad
169,0<=X<200,13,no credits/all paid,radio/tv,2136.0,<100,unemployed,2,female div/dep/mar,none,3,real estate,22,none,rent,3,skilled,2,none,no,bad
170,no checking,6,critical/other existing credit,new car,2809.0,<100,4<=X<7,1,female div/dep/mar,none,4,no known property,44,none,for free,2,skilled,2,none,no,good
171,0<=X<200,12,delayed previously,radio/tv,5201.0,<100,unemployed,1,female div/dep/mar,none,3,life insurance,46,none,rent,2,skilled,2,none,no,bad
172,<0,36,no credits/all paid,radio/tv,8025.0,no known savings,4<=X<7,4,female div/dep/mar,none,4,no known property,42,none,for free,2,skilled,2,none,no,bad
173,no checking,23,critical/other existing credit,radio/tv,3322.0,<100,unemployed,4,female div/dep/mar,none,4,car,28,none,rent,3,skilled,2,none,no,good
174,<0,24,critical/other existing credit,new car,6575.0,100<=X<500,<1,2,female div/dep/mar,none,1,life insurance,47,none,rent,2,skilled,2,none,no,bad
175,no checking,31,no credits/all paid,education,2884.0,<100,<1,2,female div/dep/mar,none,4,car,34,none,rent,3,skilled,2,none,no,bad
176,no checking,25,no credits/all paid,education,6022.0,<100,1<=X<4,2,female div/dep/mar,none,1,life insurance,23,none,rent,2,skilled,2,none,no,bad
177,<0,13,critical/other existing credit,new car,608.0,<100,1<=X<4,4,female div/dep/mar,none,3,car,35,none,rent,3,skilled,2,none,no,bad
178,no checking,48,delayed previously,repairs,2586.0,<100,1<=X<4,4,female div/dep/mar,none,4,life insurance,35,none,rent,3,skilled,2,none,no,good
179,no checking,26,critical/other existing credit,education,5274.0,100<=X<500,>=7,2,female div/dep/mar,none,4,life insurance,37,none,rent,2,skilled,2,none,no,good
180,<0,48,no credits/all paid,business,11614.0,100<=X<500,<1,1,female div/dep/mar,none,2,car,20,none,rent,3,skilled,2,none,no,bad
181,no checking,7,no credits/all paid,used car,511.0,<100,<1,3,female div/dep/mar,none,1,car,42,none,rent,3,skilled,2,none,no,good
